MAG,MG,Coverage
MAG01780,MG_181629,91.837524
MAG01781,MG_181629,40.47471
MAG01782,MG_181629,37.198067
MAG01783,MG_181629,16.429253
MAG01784,MG_181629,8.091742
MAG01785,MG_181629,1002.5131
MAG01786,MG_181629,175.44275
MAG01787,MG_181657,99.139595
MAG01788,MG_181657,64.87371
MAG01789,MG_181657,1387.7313
MAG01790,MG_181657,269.395
MAG01791,MG_181657,404.24875
MAG01792,MG_181657,13.159955
MAG01793,MG_181657,107.10341
MAG01794,MG_181657,16.52663
MAG01795,MG_181657,29.947218
MAG01796,MG_181657,300.6379
MAG01797,MG_181657,258.89932
MAG01798,MG_181657,26.866714
MAG01799,MG_181657,138.76538
MAG01800,MG_181657,32.10801
MAG01801,MG_181657,127.99628
MAG01802,MG_181657,53.88636
MAG01803,MG_181657,37.12575
MAG01804,MG_181657,564.0242
MAG01805,MG_181657,125.39489
MAG01806,MG_181711,17.555923
MAG01807,MG_181711,22.793407
MAG01808,MG_181711,41.155136
MAG01809,MG_181711,356.91473
MAG01810,MG_181711,14.326201
MAG01811,MG_181711,172.74562
MAG01812,MG_181711,91.991035
MAG01813,MG_181711,7.6537952
MAG01814,MG_181775,42.766113
MAG01815,MG_181775,231.9005
MAG01816,MG_181775,33.670074
MAG01817,MG_181775,14.167557
MAG01818,MG_181775,72.55162
MAG01819,MG_181775,21.959723
MAG01820,MG_181775,22.478786
MAG01821,MG_181775,88.95817
MAG01822,MG_181819,314.18823
MAG01823,MG_181819,27.961897
MAG01824,MG_181871,19.870947
MAG01825,MG_181871,122.970894
MAG01826,MG_181871,151.50719
MAG01827,MG_181871,14.031244
MAG01828,MG_181935,235.15414
MAG01829,MG_181935,463.9888
MAG01830,MG_182339,631.1612
MAG01831,MG_182427,45.1834
MAG01832,MG_182427,27.537012
MAG01833,MG_182427,1082.4489
MAG01834,MG_182447,117.70779
MAG01836,MG_1831RFLQV1,408.98233
MAG01837,MG_183668,13.998258
MAG01838,MG_183668,2717.261
MAG01839,MG_183700,24.362509
MAG01840,MG_183700,225.53575
MAG01841,MG_183700,199.05664
MAG01842,MG_183700,16.74639
MAG01843,MG_183757,168.89874
MAG01844,MG_183805,104.131424
MAG01846,MG_185190,7.780591
MAG01847,MG_185190,74.14277
MAG01848,MG_185190,19.027933
MAG01849,MG_185190,711.73914
MAG01850,MG_185190,76.098694
MAG01851,MG_185190,573.2948
MAG01852,MG_185190,219.66287
MAG01853,MG_185190,6.55531
MAG01854,MG_185190,32.5605
MAG01855,MG_185190,114.77239
MAG01856,MG_185190,19.84727
MAG01857,MG_185190,64.17563
MAG01858,MG_185190,39.10331
MAG01859,MG_185190,24.89444
MAG01860,MG_185190,5.976646
MAG01861,MG_185190,54.622574
MAG01862,MG_185190,34.26653
MAG01863,MG_185190,11.349028
MAG01864,MG_185190,12.264949
MAG01865,MG_185190,7.749663
MAG01866,MG_185190,55.11135
MAG01867,MG_185190,11.836795
MAG01868,MG_185218,23.720629
MAG01869,MG_185218,27.814375
MAG01870,MG_185218,3184.391
MAG01871,MG_185218,7.9747715
MAG01872,MG_185218,69.21464
MAG01873,MG_185218,7.4202204
MAG01874,MG_185218,14.603236
MAG01875,MG_185218,22.501389
MAG01876,MG_185218,72.3188
MAG01877,MG_185218,13.325678
MAG01878,MG_185218,22.257025
MAG01879,MG_185218,8.5222845
MAG01880,MG_185218,66.157555
MAG01881,MG_185218,57.93442
MAG01882,MG_185218,164.90352
MAG01883,MG_185218,6.7804565
MAG01884,MG_185218,42.242165
MAG01885,MG_185218,5.911244
MAG01886,MG_185218,8.357868
MAG01887,MG_185218,36.544395
MAG01888,MG_185218,27.815136
MAG01889,MG_185218,43.75922
MAG01890,MG_185218,9.403698
MAG01891,MG_185238,21.793613
MAG01892,MG_185238,108.552025
MAG01893,MG_185238,73.3279
MAG01894,MG_185238,38.283173
MAG01895,MG_185238,8.058014
MAG01896,MG_185238,6.356871
MAG01897,MG_185238,48.761574
MAG01898,MG_185238,247.26883
MAG01899,MG_185238,24.619558
MAG01900,MG_185238,12.023133
MAG01901,MG_185238,574.6097
MAG01902,MG_185238,22.486067
MAG01903,MG_185238,52.198032
MAG01904,MG_185238,22.45599
MAG01905,MG_185238,10.739128
MAG01906,MG_185238,20.548674
MAG01907,MG_185238,20.115822
MAG01908,MG_185238,15.468656
MAG01909,MG_185238,121.84432
MAG01910,MG_185251,256.3896
MAG01911,MG_185251,120.634766
MAG01912,MG_185251,99.34205
MAG01913,MG_185251,369.12067
MAG01914,MG_185251,629.8638
MAG01915,MG_185251,1816.9884
MAG01916,MG_185251,160.11868
MAG01917,MG_185251,66.62701
MAG01918,MG_185275,75.087006
MAG01919,MG_185275,124.08489
MAG01920,MG_185275,24.425325
MAG01921,MG_185275,22.97266
MAG01922,MG_185275,326.06027
MAG01923,MG_185275,22.904028
MAG01924,MG_185275,42.444447
MAG01925,MG_185275,23.570036
MAG01926,MG_185275,90.621185
MAG01927,MG_185275,60.807816
MAG01928,MG_185275,121.25386
MAG01929,MG_185275,120.04802
MAG01930,MG_185275,20.353977
MAG01931,MG_185275,212.3627
MAG01932,MG_185275,24.445776
MAG01933,MG_185275,176.55226
MAG01934,MG_185275,16.823145
MAG01935,MG_185347,30.9097
MAG01936,MG_185347,86.224075
MAG01937,MG_185347,45.249073
MAG01938,MG_185347,87.52434
MAG01939,MG_185347,29.664623
MAG01940,MG_185347,12.622207
MAG01941,MG_185347,11.742059
MAG01942,MG_185395,27.681833
MAG01943,MG_185475,1208.5852
MAG01944,MG_185475,114.752174
MAG01945,MG_185475,156.1795
MAG01946,MG_185475,214.45569
MAG01947,MG_185475,9.012888
MAG01948,MG_185475,11.116954
MAG01949,MG_185475,20.177647
MAG01950,MG_185475,647.59674
MAG01951,MG_185475,200.11345
MAG01952,MG_185475,32.812813
MAG01953,MG_185475,113.86634
MAG01954,MG_185475,77.296616
MAG01955,MG_185475,28.938374
MAG01956,MG_186304,10.377876
MAG01957,MG_186304,11.028756
MAG01958,MG_186304,12.53711
MAG01959,MG_186360,18.221745
MAG01960,MG_186472,21.201841
MAG01961,MG_186472,42.82639
MAG01962,MG_186472,58.61139
MAG01963,MG_186472,48.162125
MAG01964,MG_186472,27.382097
MAG01965,MG_186655,2838.2327
MAG01966,MG_186655,769.8987
MAG01967,MG_186655,16.915503
MAG01968,MG_186711,41.859097
MAG01969,MG_186783,1209.7946
MAG01970,MG_186783,610.7718
MAG01971,MG_186830b,32.914536
MAG01972,MG_186830b,388.89957
MAG01973,MG_186847,14.461731
MAG01974,MG_186847,2994.5742
MAG01975,MG_186847,12.117872
MAG01976,MG_186847,2808.021
MAG01977,MG_186854,193.88799
MAG01978,MG_186854,145.22905
MAG01979,MG_186885,56.252552
MAG01980,MG_186885,120.11515
MAG01981,MG_186911,183.409
MAG01982,MG_186911,487.35117
MAG01983,MG_187184,22.392696
MAG01984,MG_187184,36.38755
MAG01985,MG_187184,96.89393
MAG01986,MG_187184,16.098076
MAG01987,MG_187184,11.27982
MAG01988,MG_187184,12.598008
MAG01989,MG_187184,31.138958
MAG01990,MG_187184,56.103252
MAG01991,MG_187184,32.207676
MAG01992,MG_187184,42.50436
MAG01993,MG_187184,117.50699
MAG01994,MG_187220,25.399345
MAG01995,MG_187220,25.421768
MAG01996,MG_187220,15.697187
MAG01997,MG_187220,16.431892
MAG01998,MG_187220,13.665301
MAG01999,MG_187220,9.041423
MAG02000,MG_187252,21.822716
MAG02001,MG_187252,366.9354
MAG02002,MG_187252,27.456198
MAG02003,MG_187252,10.456883
MAG02004,MG_187377,892.8537
MAG02005,MG_187377,162.16829
MAG02006,MG_187405,68.10985
MAG02007,MG_187405,129.83655
MAG02008,MG_187405,306.73392
MAG02009,MG_187469,139.95628
MAG02010,MG_187469,68.50318
MAG02011,MG_187469,178.2663
MAG02012,MG_187469,70.0227
MAG02013,MG_187469,45.335773
MAG02014,MG_187469,55.48074
MAG02015,MG_187469,63.2581
MAG02016,MG_187757,68.79785
MAG02017,MG_187757,15.394778
MAG02018,MG_187757,7.610178
MAG02019,MG_187757,43.219746
MAG02020,MG_187757,14.928224
MAG02021,MG_187757,34.909767
MAG02022,MG_187757,13.437701
MAG02023,MG_187757,7.314191
MAG02024,MG_187757,194.6018
MAG02025,MG_187757,68.07661
MAG02026,MG_188156,829.84503
MAG02027,MG_188156,19.377214
MAG02028,MG_188156,24.691029
MAG02029,MG_188156,570.5926
MAG02030,MG_188249,35.691845
MAG02031,MG_188249,122.1975
MAG02032,MG_188297,178.79352
MAG02033,MG_188297,85.360115
MAG02034,MG_188297,57.645172
MAG02035,MG_188537,39.823593
MAG02036,MG_188537,17.027895
MAG02037,MG_188537,16.05026
MAG02038,MG_188537,115.31164
MAG02039,MG_188537,72.507965
MAG02040,MG_188537,24.133797
MAG02041,MG_188537,1238.0588
MAG02042,MG_188537,12.458876
MAG02043,MG_188537,58.740944
MAG02044,MG_188537,554.9751
MAG02045,MG_188537,10.734302
MAG02046,MG_188537,14.845683
MAG02047,MG_188537,785.9868
MAG02048,MG_188537,12.357458
MAG02049,MG_188537,192.70801
MAG02050,MG_188537,7.0316834
MAG02051,MG_188537,7.176535
MAG02052,MG_188537,39.278564
MAG02053,MG_188537,1176.9305
MAG02054,MG_188537,581.98676
MAG02055,MG_188537,52.75097
MAG02056,MG_188537,162.40161
MAG02057,MG_188537,140.41357
MAG02058,MG_188537,22.99063
MAG02059,MG_188613,77.84551
MAG02060,MG_188613,191.27603
MAG02061,MG_188613,120.329926
MAG02062,MG_188613,163.47789
MAG02063,MG_188613,85.873856
MAG02064,MG_188613,168.95691
MAG02065,MG_188613,37.485134
MAG02067,MG_1890RFLQV1,471.63943
MAG02068,MG_189407,738.7321
MAG02069,MG_189407,159.23788
MAG02070,MG_189407,119.08129
MAG02071,MG_189407,678.4341
MAG02072,MG_189407,64.20276
MAG02073,MG_189407,226.91737
MAG02074,MG_189407,721.586
MAG02075,MG_189407,130.80162
MAG02076,MG_189407,105.87313
MAG02077,MG_189407,439.53394
MAG02078,MG_189407,113.16392
MAG02079,MG_189534,46.43245
MAG02080,MG_189598,230.95488
MAG02081,MG_189598,622.63855
MAG02082,MG_189598,56.19355
MAG02083,MG_189598,67.677635
MAG02084,MG_189598,14.484503
MAG02085,MG_189598,10.750394
MAG02086,MG_189598,30.354937
MAG02087,MG_189598,195.06067
MAG02088,MG_189598,90.51578
MAG02089,MG_189598,20.989487
MAG02090,MG_189598,72.34273
MAG02091,MG_189598,53.88778
MAG02092,MG_189598,633.33856
MAG02093,MG_189598,261.47095
MAG02094,MG_189662,19.693714
MAG02095,MG_189662,66.1363
MAG02096,MG_189662,372.80566
MAG02097,MG_189662,297.83414
MAG02098,MG_189662,637.2478
MAG02099,MG_189662,161.07828
MAG02100,MG_189662,14.450869
MAG02101,MG_189662,348.10892
MAG02102,MG_189662,485.12024
MAG02103,MG_189662,68.65396
MAG02104,MG_189662,488.86917
MAG02105,MG_189662,90.79255
MAG02106,MG_189662,346.83112
MAG02107,MG_189662,64.96834
MAG02108,MG_189662,83.593094
MAG02109,MG_189662,130.07368
MAG02110,MG_189739,9.247045
MAG02111,MG_189739,23.699644
MAG02112,MG_189739,32.558647
MAG02113,MG_189739,26.734026
MAG02114,MG_189739,75.2643
MAG02115,MG_189739,40.20587
MAG02116,MG_189739,26.845438
MAG02117,MG_189739,9.10766
MAG02118,MG_189739,123.55941
MAG02119,MG_189739,17.629034
MAG02120,MG_189739,277.75247
MAG02121,MG_189739,9.181079
MAG02122,MG_189739,133.13423
MAG02123,MG_189739,26.644331
MAG02124,MG_189739,37.725857
MAG02125,MG_189739,8.353286
MAG02126,MG_189739,25.738525
MAG02127,MG_189739,95.98976
MAG02128,MG_189739,10.024543
MAG02129,MG_189739,41.97617
MAG02130,MG_189739,13.401622
MAG02131,MG_189739,30.575129
MAG02132,MG_189739,8.83778
MAG02133,MG_189760,11.796434
MAG02134,MG_189760,80.05133
MAG02135,MG_189760,8.452802
MAG02136,MG_189760,26.420656
MAG02137,MG_189760,13.306495
MAG02138,MG_189760,11.418851
MAG02139,MG_189771,16.396814
MAG02140,MG_189771,16.394838
MAG02141,MG_189771,41.55549
MAG02142,MG_189771,43.456833
MAG02143,MG_189771,188.24841
MAG02144,MG_189771,24.778511
MAG02145,MG_189771,10.665403
MAG02146,MG_189771,25.932869
MAG02147,MG_189771,56.678528
MAG02148,MG_189771,45.739307
MAG02149,MG_189771,19.425402
MAG02150,MG_189771,8.859211
MAG02151,MG_189771,11.897035
MAG02152,MG_189771,31.93153
MAG02153,MG_189771,9.24271
MAG02154,MG_189771,23.674137
MAG02155,MG_189771,25.747889
MAG02156,MG_189771,48.48383
MAG02157,MG_189771,22.249405
MAG02158,MG_189771,50.78173
MAG02159,MG_190344,443.0269
MAG02160,MG_190788,158.44815
MAG02161,MG_190788,981.49457
MAG02162,MG_190788,272.6252
MAG02163,MG_190852,260.4267
MAG02164,MG_190852,47.253315
MAG02165,MG_190852,420.11606
MAG02166,MG_190852,213.67635
MAG02167,MG_190852,12.112761
MAG02168,MG_191387,14.216056
MAG02169,MG_191387,8.469446
MAG02170,MG_191387,169.01163
MAG02171,MG_191387,7.6685886
MAG02172,MG_191387,11.756558
MAG02173,MG_191407,10.30996
MAG02174,MG_191407,22.745096
MAG02175,MG_191407,7.58608
MAG02176,MG_191407,15.67384
MAG02177,MG_191407,7.57184
MAG02178,MG_191407,159.69698
MAG02179,MG_191407,15.383017
MAG02180,MG_191407,60.170746
MAG02181,MG_191407,40.997032
MAG02182,MG_191407,9.728682
MAG02183,MG_191407,8.95193
MAG02184,MG_191407,26.73256
MAG02185,MG_191407,21.29012
MAG02186,MG_191407,30.191914
MAG02187,MG_191407,31.024704
MAG02188,MG_191407,7.1511893
MAG02189,MG_191407,5.911206
MAG02190,MG_191407,26.120821
MAG02191,MG_191407,8.529677
MAG02192,MG_191407,130.97209
MAG02193,MG_191407,10.7831
MAG02194,MG_191407,147.329
MAG02195,MG_191407,17.733887
MAG02196,MG_191407,8.78643
MAG02197,MG_191495,129.10522
MAG02198,MG_191495,8.286502
MAG02199,MG_191686,46.129784
MAG02200,MG_191686,17.914549
MAG02201,MG_191686,375.32922
MAG02202,MG_191686,18.382294
MAG02203,MG_191690,15.353154
MAG02204,MG_191690,266.91086
MAG02205,MG_191690,48.046574
MAG02206,MG_191690,18.88524
MAG02207,MG_191690,13.184938
MAG02208,MG_191690,6.3999853
MAG02209,MG_191734,132.02367
MAG02210,MG_191734,37.235096
MAG02211,MG_191734,10.465373
MAG02212,MG_191734,8.6326
MAG02213,MG_191734,11.195183
MAG02214,MG_1921RFLQV1,92.03892
MAG02215,MG_1921RFLQV1,90.23993
MAG02216,MG_1921RFLQV1,41.974995
MAG02217,MG_1921RFLQV1,243.5854
MAG02218,MG_1921RFLQV1,317.56998
MAG02219,MG_1921RFLQV1,49.80111
MAG02220,MG_1921RFLQV1,1401.7532
MAG02221,MG_1921RFLQV1,47.29364
MAG02222,MG_1921RFLQV1,17.735283
MAG02223,MG_192430,927.6531
MAG02224,MG_192484,8.937066
MAG02225,MG_192484,95.80763
MAG02226,MG_192484,8.746275
MAG02227,MG_192494,19.435087
MAG02228,MG_192494,40.748985
MAG02229,MG_192494,506.53232
MAG02230,MG_192494,17.378204
MAG02231,MG_192512,16.680481
MAG02232,MG_192512,11.93514
MAG02233,MG_192512,39.184082
MAG02234,MG_192540,19.820478
MAG02235,MG_192540,121.91005
MAG02236,MG_192540,8.991582
MAG02237,MG_192540,24.649658
MAG02238,MG_192540,22.92168
MAG02239,MG_192540,17.430397
MAG02240,MG_192558,18.534998
MAG02241,MG_192558,173.9524
MAG02242,MG_192622,257.9031
MAG02243,MG_192622,313.00473
MAG02244,MG_192622,36.691437
MAG02245,MG_192686,24.32246
MAG02246,MG_192686,541.5673
MAG02247,MG_193122b,15.3009405
MAG02248,MG_193122b,86.43374
MAG02249,MG_193170,19.703308
MAG02250,MG_193170,19.690779
MAG02251,MG_193170,542.38104
MAG02252,MG_193170,38.468845
MAG02253,MG_193494,21.809988
MAG02254,MG_193494,317.20764
MAG02255,MG_193518,7.50369
MAG02256,MG_193518,65.6287
MAG02257,MG_193537,31.563786
MAG02258,MG_193537,38.910854
MAG02259,MG_193537,710.54926
MAG02260,MG_193549,378.1334
MAG02261,MG_193549,12.484983
MAG02262,MG_193573_b,341.8476
MAG02263,MG_193573_b,6.446915
MAG02264,MG_193837b,8.467462
MAG02265,MG_193837b,185.23175
MAG02266,MG_193837b,58.204746
MAG02267,MG_193837b,13.280404
MAG02268,MG_193837b,23.886179
MAG02269,MG_193837b,439.82428
MAG02270,MG_193837b,383.232
MAG02271,MG_193837b,8.42604
MAG02272,MG_193866,13.031723
MAG02273,MG_193866,106.38752
MAG02274,MG_193866,15.690319
MAG02275,MG_193866,894.161
MAG02276,MG_193866,1463.2437
MAG02277,MG_193866,164.0271
MAG02278,MG_193884,93.878296
MAG02279,MG_193884,143.31671
MAG02280,MG_193884,206.2841
MAG02281,MG_193930,872.1157
MAG02282,MG_193930,37.826435
MAG02283,MG_193930,33.66539
MAG02284,MG_193930,2201.5398
MAG02285,MG_193930,3114.83
MAG02286,MG_193930,17.96561
MAG02287,MG_193970,45.38213
MAG02288,MG_193970,117.96032
MAG02289,MG_193970,54.618332
MAG02290,MG_194058,20.569605
MAG02291,MG_194058,27.359371
MAG02292,MG_194058,308.40756
MAG02293,MG_194122,71.01353
MAG02294,MG_194122,2139.7817
MAG02295,MG_194122,41.624958
MAG02296,MG_194122,74.93493
MAG02297,MG_194227,2190.2217
MAG02298,MG_194255,19.268967
MAG02299,MG_194255,43.313858
MAG02300,MG_194255,1420.968
MAG02301,MG_194275,896.33276
MAG02302,MG_194275,176.00545
MAG02303,MG_194714,19.097416
MAG02304,MG_194714,42.61444
MAG02305,MG_194714,264.37262
MAG02306,MG_194714,234.08136
MAG02307,MG_194714,115.81865
MAG02308,MG_194714,174.31508
MAG02309,MG_194714,235.08427
MAG02310,MG_194714,9.6113825
MAG02311,MG_194714,837.9348
MAG02312,MG_194714,18.3554
MAG02313,MG_194714,193.51744
MAG02314,MG_194714,11.178452
MAG02315,MG_194714,114.553734
MAG02316,MG_194714,13.631302
MAG02317,MG_194714,64.35429
MAG02318,MG_194714,8.92563
MAG02319,MG_194714,27.581696
MAG02320,MG_194714,195.17223
MAG02321,MG_194714,897.78534
MAG02322,MG_194714,37.63605
MAG02323,MG_194714,8.011023
MAG02324,MG_194714,151.44533
MAG02325,MG_194714,58.782
MAG02326,MG_194714,68.94111
MAG02327,MG_194714,8.646067
MAG02328,MG_194714,12.642602
MAG02329,MG_194714,227.18285
MAG02330,MG_194735b,37.874664
MAG02331,MG_194735b,1471.1614
MAG02332,MG_194735b,19.117538
MAG02333,MG_194735b,214.52318
MAG02334,MG_194735b,558.02295
MAG02335,MG_194735b,197.18378
MAG02336,MG_194735b,93.19625
MAG02337,MG_194735b,34.197403
MAG02338,MG_194735b,22.135529
MAG02339,MG_194735b,7.3148026
MAG02340,MG_194735b,17.174084
MAG02341,MG_194735b,21.352415
MAG02342,MG_194735b,13.205053
MAG02343,MG_194735b,88.924736
MAG02344,MG_194735b,14.950877
MAG02345,MG_194735b,22.51499
MAG02346,MG_194735b,51.11663
MAG02347,MG_194735b,81.874886
MAG02348,MG_194735b,359.97852
MAG02349,MG_194735b,511.06476
MAG02350,MG_194735b,7.438866
MAG02351,MG_194735b,11.687812
MAG02352,MG_194735b,5.8088284
MAG02353,MG_194735b,45.330112
MAG02354,MG_194735b,82.6588
MAG02355,MG_194758,114.7411
MAG02356,MG_194758,53.791332
MAG02357,MG_194758,108.1471
MAG02358,MG_194758,18.046234
MAG02359,MG_194758,51.455215
MAG02360,MG_194758,156.5441
MAG02361,MG_194758,28.949669
MAG02362,MG_194758,152.53998
MAG02363,MG_194758,193.53575
MAG02364,MG_194758,81.154884
MAG02365,MG_194758,18.846107
MAG02366,MG_194758,21.964281
MAG02367,MG_194758,136.90558
MAG02368,MG_194758,19.130629
MAG02369,MG_194758,21.21715
MAG02370,MG_194758,34.732723
MAG02371,MG_194758,137.32953
MAG02372,MG_194758,8.043857
MAG02373,MG_194758,26.899252
MAG02374,MG_194758,519.15106
MAG02375,MG_194758,12.563912
MAG02376,MG_194758,243.43695
MAG02377,MG_194758,567.5939
MAG02378,MG_194758,439.19196
MAG02379,MG_194758,29.865982
MAG02380,MG_194945,45.648182
MAG02381,MG_194993,15.225352
MAG02382,MG_194993,326.56448
MAG02383,MG_195290,263.1071
MAG02384,MG_195374,25.40797
MAG02385,MG_195374,49.80427
MAG02386,MG_195374,33.846935
MAG02387,MG_195430,19.91216
MAG02388,MG_195430,9.814188
MAG02389,MG_195430,122.37862
MAG02390,MG_195430,21.3261
MAG02391,MG_195566,56.967545
MAG02392,MG_195672,46.277813
MAG02393,MG_195672,12.1853
MAG02394,MG_195672,40.02669
MAG02395,MG_195672,17.229149
MAG02396,MG_195672,219.38194
MAG02397,MG_195672,22.885117
MAG02398,MG_195672,111.52035
MAG02399,MG_195672,6.902947
MAG02400,MG_195672,459.54742
MAG02401,MG_195672,217.89572
MAG02402,MG_195672,151.84096
MAG02403,MG_195672,31.175972
MAG02404,MG_195672,10.119769
MAG02405,MG_195672,8.650784
MAG02406,MG_195672,14.632991
MAG02407,MG_195672,100.342125
MAG02408,MG_195672,143.8871
MAG02409,MG_195672,61.323906
MAG02410,MG_195672,16.24654
MAG02411,MG_195711,170.59698
MAG02412,MG_195711,15.852116
MAG02413,MG_195711,149.8743
MAG02414,MG_195711,7.9744105
MAG02415,MG_195711,12.804513
MAG02416,MG_195711,44.53671
MAG02417,MG_195711,17.455902
MAG02418,MG_195711,89.6194
MAG02419,MG_195711,15.978859
MAG02420,MG_195711,6.57358
MAG02421,MG_195739,30.04771
MAG02422,MG_195739,84.62829
MAG02423,MG_195739,163.49959
MAG02424,MG_195739,210.62178
MAG02425,MG_195739,144.96353
MAG02426,MG_195739,55.489372
MAG02427,MG_195739,16.479305
MAG02428,MG_195739,716.9085
MAG02429,MG_195739,958.2844
MAG02430,MG_195739,38.49765
MAG02431,MG_195739,8.317195
MAG02432,MG_195739,12.642397
MAG02433,MG_195739,39.055065
MAG02434,MG_195739,8.253465
MAG02435,MG_195739,356.39435
MAG02436,MG_195739,119.5026
MAG02437,MG_195739,20.02181
MAG02438,MG_195739,47.37417
MAG02439,MG_195739,56.901665
MAG02440,MG_195739,136.1813
MAG02441,MG_195767,10.00045
MAG02442,MG_195767,18.243444
MAG02443,MG_195767,724.1862
MAG02444,MG_195767,205.08163
MAG02445,MG_195767,94.44717
MAG02446,MG_195767,93.03488
MAG02447,MG_195767,42.321175
MAG02448,MG_195767,31.014486
MAG02449,MG_195767,11.745271
MAG02450,MG_195767,46.33746
MAG02451,MG_195767,18.111753
MAG02452,MG_195767,7.6724606
MAG02453,MG_195767,383.18478
MAG02454,MG_195767,31.42397
MAG02455,MG_195767,7.641431
MAG02456,MG_195767,6.5378103
MAG02457,MG_195767,52.078236
MAG02458,MG_195767,155.16556
MAG02459,MG_195767,170.10097
MAG02460,MG_195767,23.985605
MAG02461,MG_195767,17.545212
MAG02462,MG_195767,10.499645
MAG02463,MG_195767,14.961379
MAG02464,MG_195843,23.614553
MAG02465,MG_195843,111.892624
MAG02466,MG_195891,32.112507
MAG02467,MG_195891,255.08879
MAG02468,MG_195891,198.10864
MAG02469,MG_195891,205.99591
MAG02470,MG_195891,38.05534
MAG02471,MG_195939,18.436922
MAG02472,MG_195939,105.671814
MAG02473,MG_195939,362.9835
MAG02474,MG_195939,51.696434
MAG02475,MG_195939,10.348954
MAG02476,MG_195939,25.99361
MAG02477,MG_195939,80.67726
MAG02478,MG_195939,43.108505
MAG02479,MG_196356,18.79853
MAG02480,MG_196356,72.93457
MAG02481,MG_196356,12.870118
MAG02482,MG_196356,10.351023
MAG02483,MG_196356,15.004834
MAG02484,MG_196356,26.745949
MAG02485,MG_196356,33.81575
MAG02486,MG_196356,22.82102
MAG02487,MG_196356,26.804594
MAG02488,MG_196356,14.227587
MAG02489,MG_196356,8.825502
MAG02490,MG_196356,10.668207
MAG02491,MG_196356,19.421093
MAG02492,MG_196356,37.338593
MAG02493,MG_196356,11.751142
MAG02494,MG_196356,53.859276
MAG02495,MG_196356,145.11076
MAG02496,MG_196356,5.2209854
MAG02497,MG_196356,91.47346
MAG02498,MG_196356,58.42808
MAG02499,MG_196356,8.86659
MAG02500,MG_196356,188.8206
MAG02501,MG_196356,23.84536
MAG02502,MG_196356,83.61724
MAG02503,MG_196356,12.924534
MAG02504,MG_196401,286.7415
MAG02505,MG_196401,45.88644
MAG02506,MG_196401,20.5504
MAG02507,MG_196401,86.60579
MAG02508,MG_196401,212.83151
MAG02509,MG_196401,26.208548
MAG02510,MG_196401,123.425575
MAG02511,MG_196401,112.2554
MAG02512,MG_196401,1011.31506
MAG02513,MG_196401,972.3687
MAG02514,MG_196401,190.75227
MAG02515,MG_197067,8.992229
MAG02516,MG_197067,10.653088
MAG02517,MG_197067,68.30036
MAG02518,MG_197067,497.95032
MAG02519,MG_197067,7.529671
MAG02520,MG_197067,14.19186
MAG02521,MG_197067,10.840918
MAG02522,MG_197067,45.07581
MAG02523,MG_197067,10.59563
MAG02524,MG_197067,29.596502
MAG02525,MG_197067,14.821228
MAG02526,MG_197067,69.85749
MAG02527,MG_197067,27.265875
MAG02528,MG_197078,20.947653
MAG02529,MG_197078,11.19743
MAG02530,MG_197078,7.4182734
MAG02531,MG_197078,111.44228
MAG02532,MG_197078,14.008811
MAG02533,MG_197078,31.653671
MAG02534,MG_197078,362.32938
MAG02535,MG_197078,175.13326
MAG02536,MG_197078,16.438553
MAG02537,MG_197078,138.29376
MAG02538,MG_197078,6.955259
MAG02539,MG_197078,44.80312
MAG02540,MG_197078,27.62389
MAG02541,MG_197078,41.57286
MAG02542,MG_197078,60.565273
MAG02543,MG_197078,47.79613
MAG02544,MG_197099,10.446384
MAG02545,MG_197099,13.081678
MAG02546,MG_197099,65.978806
MAG02547,MG_198165,22.022001
MAG02548,MG_198165,58.792255
MAG02549,MG_198165,90.47447
MAG02550,MG_198165,23.741283
MAG02551,MG_198165,20.021301
MAG02552,MG_198165,21.582052
MAG02553,MG_198165,89.974464
MAG02554,MG_198165,16.189789
MAG02555,MG_198165,68.223045
MAG02556,MG_198203,89.75254
MAG02557,MG_198203,216.02615
MAG02558,MG_198203,258.62744
MAG02559,MG_198203,26.41379
MAG02560,MG_198203,109.45374
MAG02561,MG_198203,91.658905
MAG02562,MG_198203,333.63904
MAG02563,MG_198203,230.14743
MAG02564,MG_198203,174.5157
MAG02565,MG_198203,70.45953
MAG02566,MG_198203,62.743607
MAG02567,MG_198203,54.030224
MAG02568,MG_198203,61.175556
MAG02569,MG_198203,84.69829
MAG02570,MG_198203,717.9587
MAG02571,MG_198203,45.370968
MAG02572,MG_198203,64.08366
MAG02573,MG_198203,129.27255
MAG02574,MG_198203,58.10275
MAG02575,MG_198203,96.94184
MAG02576,MG_198203,125.278786
MAG02577,MG_198223,67.743034
MAG02578,MG_198223,94.43767
MAG02579,MG_198223,345.27423
MAG02580,MG_198223,46.7719
MAG02581,MG_198223,54.217495
MAG02582,MG_198223,37.26352
MAG02583,MG_198223,28.80981
MAG02584,MG_198223,227.03317
MAG02585,MG_198223,93.5342
MAG02586,MG_198223,196.76399
MAG02587,MG_198237,82.01971
MAG02588,MG_198279,569.8118
MAG02589,MG_198279,67.87877
MAG02590,MG_198279,37.171566
MAG02591,MG_198279,713.8966
MAG02592,MG_198279,55.09836
MAG02593,MG_198279,41.142593
MAG02594,MG_198279,63.058056
MAG02595,MG_198279,274.49472
MAG02596,MG_198279,63.565624
