MAG,MG,Coverage
MAG00162,MG_0411RFLQV1,18.279701
MAG00163,MG_0411RFLQV1,49.27712
MAG00164,MG_0411RFLQV1,22.864328
MAG00165,MG_0411RFLQV1,32.125977
MAG00166,MG_0411RFLQV1,98.18166
MAG00167,MG_0411RFLQV1,1470.9724
MAG00168,MG_0411RFLQV1,33.874043
MAG00169,MG_0411RFLQV1,20.168274
MAG00170,MG_0411RFLQV1,62.175663
MAG00171,MG_0411RFLQV1,81.30275
MAG00172,MG_0411RFLQV1,62.84665
MAG00173,MG_0411RFLQV1,1743.4958
MAG00174,MG_0411RFLQV1,59.646545
MAG00175,MG_0411RFLQV1,40.3479
MAG00176,MG_0411RFLQV1,16.400143
MAG00177,MG_0411RFLQV1,452.9373
MAG00178,MG_0411RFLQV1,1083.856
MAG00179,MG_0411RFLQV1,21.401398
MAG00180,MG_0411RFLQV1,54.705612
MAG00181,MG_0411RFLQV1,11.7803755
MAG00182,MG_0411RFLQV1,19.363173
MAG00183,MG_0411RFLQV1,36.716404
MAG00184,MG_0411RFLQV1,16.033049
MAG00185,MG_0411RFLQV1,15.008656
MAG00186,MG_0411RFLQV1,137.04126
MAG00187,MG_0411RFLQV1,21.730057
MAG00188,MG_0412RFLQV1,562.22766
MAG00189,MG_0419RFLQV1,1819.7644
MAG00190,MG_0419RFLQV1,16.931324
MAG00191,MG_0419RFLQV1,27.388689
MAG00192,MG_0419RFLQV1,64.79663
MAG00193,MG_0419RFLQV1,71.090004
MAG00194,MG_0419RFLQV1,499.2443
MAG00195,MG_0419RFLQV1,59.90318
MAG00196,MG_0419RFLQV1,34.865505
MAG00197,MG_0419RFLQV1,15.68746
MAG00198,MG_0422RFLQV1,661.4935
MAG00200,MG_0426RFLQV1,12.071209
MAG00201,MG_0426RFLQV1,289.5008
MAG00203,MG_0426RFLQV1,9.988634
MAG00204,MG_0426RFLQV1,420.49402
MAG00205,MG_0426RFLQV1,323.42972
MAG00206,MG_0426RFLQV1,17.634298
MAG00207,MG_0426RFLQV1,21.989067
MAG00208,MG_0426RFLQV1,14.074816
MAG00209,MG_0426RFLQV1,24.11347
MAG00211,MG_0426RFLQV1,30.174747
MAG00212,MG_0426RFLQV1,15.533836
MAG00213,MG_0426RFLQV1,60.72284
MAG00214,MG_0426RFLQV1,9.473423
MAG00215,MG_0426RFLQV1,363.0781
MAG00216,MG_0426RFLQV1,16.617258
MAG00217,MG_0431RFLQV1,293.6358
MAG00219,MG_0440RFLQV1,497.20654
MAG00220,MG_0440RFLQV1,27.67519
MAG00221,MG_0449RFLQV1,1222.8881
MAG00222,MG_0449RFLQV1,47.100098
MAG00223,MG_0450RFLQV1,537.0507
MAG00224,MG_0450RFLQV1,16.963987
MAG00225,MG_0451RFLQV1,312.52652
MAG00226,MG_0455RFLQV1,303.32364
MAG00227,MG_0455RFLQV1,1148.6952
MAG00228,MG_0455RFLQV1,716.057
MAG00229,MG_0455RFLQV1,407.85654
MAG00230,MG_0457RFLQV1,130.51532
MAG00231,MG_0457RFLQV1,20.244642
MAG00232,MG_0457RFLQV1,89.26733
MAG00233,MG_0457RFLQV1,283.69476
MAG00234,MG_0457RFLQV1,169.74083
MAG00235,MG_0457RFLQV1,19.930866
MAG00236,MG_0457RFLQV1,12.789937
MAG00237,MG_0457RFLQV1,168.83664
MAG00238,MG_0457RFLQV1,3673.5818
MAG00239,MG_0457RFLQV1,778.6294
MAG00240,MG_0457RFLQV1,199.65782
MAG00241,MG_0457RFLQV1,42.922394
MAG00242,MG_0457RFLQV1,197.20712
MAG00243,MG_0457RFLQV1,193.5892
MAG00244,MG_0457RFLQV1,132.8306
MAG00245,MG_0457RFLQV1,155.0415
MAG00246,MG_0457RFLQV1,22.878794
MAG00247,MG_0457RFLQV1,13.591925
MAG00248,MG_0457RFLQV1,58.570313
MAG00249,MG_0457RFLQV1,26.686186
MAG00250,MG_0457RFLQV1,114.710106
MAG00251,MG_0462RFLQV1,20.104544
MAG00252,MG_0462RFLQV1,80.418915
MAG00253,MG_0462RFLQV1,310.17386
MAG00254,MG_0462RFLQV1,1987.5912
MAG00255,MG_0462RFLQV1,83.771545
MAG00256,MG_0462RFLQV1,441.03867
MAG00257,MG_0462RFLQV1,26.620039
MAG00258,MG_0462RFLQV1,14.896342
MAG00259,MG_0462RFLQV1,86.70512
MAG00260,MG_0462RFLQV1,87.1414
MAG00261,MG_0462RFLQV1,209.67299
MAG00262,MG_0462RFLQV1,29.708166
MAG00264,MG_0466RFLQV1,850.383
MAG00265,MG_0470RFLQV1,2044.352
MAG00266,MG_0470RFLQV1,69.7189
MAG00267,MG_0470RFLQV1,51.05646
MAG00269,MG_0470RFLQV1,14.4381695
MAG00270,MG_0470RFLQV1,9.421831
MAG00271,MG_0470RFLQV1,12.63037
MAG00272,MG_0470RFLQV1,23.395613
MAG00274,MG_0470RFLQV1,21.479519
MAG00275,MG_0471RFLQV1,25.650175
MAG00276,MG_0471RFLQV1,67.31389
MAG00277,MG_0471RFLQV1,1897.0713
MAG00278,MG_0471RFLQV1,1630.3925
MAG00279,MG_0471RFLQV1,80.24959
MAG00280,MG_0471RFLQV1,98.88606
MAG00281,MG_0471RFLQV1,144.88037
MAG00282,MG_0471RFLQV1,24.278034
MAG00283,MG_0471RFLQV1,114.998314
MAG00284,MG_0471RFLQV1,21.236235
MAG00285,MG_0471RFLQV1,221.80812
MAG00286,MG_0471RFLQV1,17.316294
MAG00287,MG_0471RFLQV1,67.807
MAG00288,MG_0471RFLQV1,38.685917
MAG00289,MG_0481RFLQV1,328.5318
MAG00290,MG_0482RFLQV1,216.05255
MAG00291,MG_0484RFLQV1,28.740498
MAG00292,MG_0484RFLQV1,17.581215
MAG00293,MG_0484RFLQV1,710.44836
MAG00294,MG_0491RFLQV1,147.55392
MAG00295,MG_0491RFLQV1,117.90749
MAG00296,MG_0491RFLQV1,67.60936
MAG00297,MG_0491RFLQV1,1195.7192
MAG00298,MG_0491RFLQV1,23.270845
MAG00299,MG_0491RFLQV1,87.92572
MAG00300,MG_0491RFLQV1,96.199936
MAG00301,MG_0491RFLQV1,1911.1567
MAG00302,MG_0491RFLQV1,123.86878
MAG00303,MG_0491RFLQV1,91.11527
MAG00304,MG_0491RFLQV1,25.219412
MAG00305,MG_0491RFLQV1,229.19423
MAG00306,MG_0491RFLQV1,80.20357
MAG00307,MG_0494RFLQV1,374.3425
MAG00308,MG_0494RFLQV1,47.404655
MAG00309,MG_0497RFLQV1,156.1427
MAG00310,MG_0497RFLQV1,14.520267
MAG00311,MG_0497RFLQV1,60.31904
MAG00312,MG_0497RFLQV1,158.03427
MAG00313,MG_0497RFLQV1,670.3502
MAG00314,MG_0497RFLQV1,182.68457
MAG00315,MG_0497RFLQV1,16.801304
MAG00316,MG_0497RFLQV1,30.086748
MAG00317,MG_0497RFLQV1,59.786102
MAG00318,MG_0497RFLQV1,12450.12
MAG00319,MG_0497RFLQV1,47.988834
MAG00320,MG_0497RFLQV1,11.071019
MAG00321,MG_0497RFLQV1,70.64082
MAG00322,MG_0497RFLQV1,25.088045
MAG00323,MG_0497RFLQV1,773.7866
MAG00324,MG_0497RFLQV1,66.07029
MAG00325,MG_0497RFLQV1,105.11591
MAG00326,MG_0497RFLQV1,82.64396
MAG00327,MG_0497RFLQV1,76.5992
